left,right,match,match_confidence,gold,left_id,right_id,source,left_kv,right_kv,left_count,right_kv_distinct
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL MACCHI COL model VAL AL-60,1,0.9999851369820942,1,AERMACCHI AL60,LA60 AL-60,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: MACCHI', 'model: AL-60']",23,23
COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA TROJAN COL cert VAL NOT IDENTIFIED,COL make VAL AL COL model VAL 60 COL series VAL 60 COL cert VAL 7A12,1,0.99998913673563,1,AERMACCHI AL60,AL-60-60,faa,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA TROJAN', 'cert: NOT IDENTIFIED']","['make: AL', 'model: 60', 'series: 60', 'cert: 7A12']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL LOCKHEED COL model VAL LASA-60 COL code VAL LA60,1,0.9999593985511008,1,AERMACCHI AL60,LA60 LASA-60,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: LOCKHEED', 'model: LASA-60', 'code: LA60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL LOCKHEED-AZCARATE COL model VAL LASA-60 Santa Maria COL code VAL LA60,1,0.9999844239323252,1,AERMACCHI AL60,LA60 LASA-60 Santa Maria,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: LOCKHEED-AZCARATE', 'model: LASA-60 Santa Maria', 'code: LA60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL ATLAS COL model VAL AL-60 Kudu,1,0.999086206629674,1,AERMACCHI AL60,LA60 AL-60 Kudu,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: ATLAS', 'model: AL-60 Kudu']",23,23
COL make VAL AERMACCHI COL model VAL AL60 COL name VAL TROJAN,COL make VAL AERMACCHI COL model VAL AL60 COL series VAL F5 COL name VAL TROJAN,1,0.9999880329049172,1,AERMACCHI AL60,46,cictt,"['make: AERMACCHI', 'model: AL60', 'name: TROJAN']","['make: AERMACCHI', 'model: AL60', 'series: F5', 'name: TROJAN']",23,23
COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA,COL make VAL AERMACCHI COL model VAL AL60 COL series VAL AL60 COL name VAL SANTA MARIA,1,0.9999910038623481,1,AERMACCHI AL60,47,cictt,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA']","['make: AERMACCHI', 'model: AL60', 'series: AL60', 'name: SANTA MARIA']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 Loadmaster COL code VAL LA60,1,0.9999909752177173,1,AERMACCHI AL60,LA60 AL-60 Loadmaster,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60 Loadmaster', 'code: LA60']",23,23
COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA TROJAN COL cert VAL NOT IDENTIFIED,COL mfr VAL MACCHI COL model VAL AL60-F5,1,0.9999612763711164,1,AERMACCHI AL60,AL-60-F5,reg,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA TROJAN', 'cert: NOT IDENTIFIED']","['mfr: MACCHI', 'model: AL60-F5']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60,1,0.9999917747365609,1,AERMACCHI AL60,LA60 AL-60,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL AERMACCHI COL model VAL AL-60 Conestoga COL code VAL LA60,1,0.999987481625496,1,AERMACCHI AL60,LA60 AL-60 Conestoga,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: AERMACCHI', 'model: AL-60 Conestoga', 'code: LA60']",23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL code VAL LA60,1,0.9996441354497023,1,AERMACCHI AL60,LA60,doc8643_code,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']",['code: LA60'],23,23
"COL make VAL AERMACCHI COL model VAL AL60 COL name VAL SANTA MARIA, TROJAN",COL mfr VAL ATLAS COL model VAL AL-60 Kudu COL code VAL LA60,1,0.9998859827437013,1,AERMACCHI AL60,LA60 AL-60 Kudu,doc8643_description,"['make: AERMACCHI', 'model: AL60', 'name: SANTA MARIA, TROJAN']","['mfr: ATLAS', 'model: AL-60 Kudu', 'code: LA60']",23,23
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260B,1,0.9999792983492568,1,AERMACCHI F260,F260 SF-260B,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260B']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260F COL code VAL F260,1,0.9999902132890036,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL F-260E,1,0.9999823267877126,1,AERMACCHI F260,F260 F-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: F-260E']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL SF-260F COL code VAL F260,1,0.9999907640353632,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: SF-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AEROTECH COL model VAL F-260F COL code VAL F260,1,0.9999888871491284,1,AERMACCHI F260,F260 F-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AEROTECH', 'model: F-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL SF-260F,1,0.9999872350301746,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: SF-260F']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AEROTECH COL model VAL F-260F,1,0.9999497314825493,1,AERMACCHI F260,F260 F-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AEROTECH', 'model: F-260F']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL TAI COL model VAL SF-260,1,0.9999721853306143,1,AERMACCHI F260,F260 SF-260,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: TAI', 'model: SF-260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL SF-260E COL code VAL F260,1,0.9999907757338079,1,AERMACCHI F260,F260 SF-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: SF-260E', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL T-260,1,0.999972864920003,1,AERMACCHI F260,F260 T-260,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: T-260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL F-260E COL code VAL F260,1,0.999990305636988,1,AERMACCHI F260,F260 F-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: F-260E', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260,1,0.9999790849390273,1,AERMACCHI F260,F260 SF-260,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL SF-260E COL code VAL F260,1,0.9999905433761368,1,AERMACCHI F260,F260 SF-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: SF-260E', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL F-260F,1,0.9999838260363653,1,AERMACCHI F260,F260 F-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: F-260F']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL MRCHTI COL model VAL F260 COL series VAL D COL cert VAL A10EU,1,0.999985904529042,1,AERMACCHI F260,MRCHTI-F260-D,faa,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: MRCHTI', 'model: F260', 'series: D', 'cert: A10EU']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260D,1,0.999976529680432,1,AERMACCHI F260,F260 SF-260D,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260D']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL F.260,1,0.9994397192843434,1,AERMACCHI F260,MRCHTI-F260-F260,reg,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: F.260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260M,1,0.9999711765733141,1,AERMACCHI F260,F260 SF-260M,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260M']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL F260D,1,0.9999761845471297,1,AERMACCHI F260,MRCHTI-F260-D,reg,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: F260D']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL SF-260F COL code VAL F260,1,0.9999911623044597,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: SF-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260D COL code VAL F260,1,0.9999897388160864,1,AERMACCHI F260,F260 SF-260D,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260D', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260B COL code VAL F260,1,0.9999900115246247,1,AERMACCHI F260,F260 SF-260B,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260B', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260M COL code VAL F260,1,0.9999897271105782,1,AERMACCHI F260,F260 SF-260M,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260M', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL SF-260E,1,0.9999853260797018,1,AERMACCHI F260,F260 SF-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: SF-260E']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL AERMACCHI COL model VAL F260 COL series VAL B COL cert VAL EASA.A.586,1,0.9999867080315351,1,AERMACCHI F260,48,cictt,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: AERMACCHI', 'model: F260', 'series: B', 'cert: EASA.A.586']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL F-260F COL code VAL F260,1,0.9999905738858461,1,AERMACCHI F260,F260 F-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: F-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL F-260F,1,0.9999821203750219,1,AERMACCHI F260,F260 F-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: F-260F']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL TAI COL model VAL SF-260 COL code VAL F260,1,0.9999906809077437,1,AERMACCHI F260,F260 SF-260,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: TAI', 'model: SF-260', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260A,1,0.9999800583192748,1,AERMACCHI F260,F260 SF-260A,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260A']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL SF-260E,1,0.9999854534770133,1,AERMACCHI F260,F260 SF-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: SF-260E']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL AERMACCHI COL model VAL F260 COL series VAL F260 COL cert VAL EASA.A.586,1,0.9999885114740572,1,AERMACCHI F260,53,cictt,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: AERMACCHI', 'model: F260', 'series: F260', 'cert: EASA.A.586']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL MRCHTI COL model VAL F260 COL series VAL C COL cert VAL A10EU,1,0.9999856724465092,1,AERMACCHI F260,MRCHTI-F260-C,faa,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: MRCHTI', 'model: F260', 'series: C', 'cert: A10EU']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL MRCHTI COL model VAL F260 COL series VAL F260 COL cert VAL A10EU,1,0.9999886376703914,1,AERMACCHI F260,MRCHTI-F260-F260,faa,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: MRCHTI', 'model: F260', 'series: F260', 'cert: A10EU']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL MRCHTI COL model VAL F260 COL series VAL B COL cert VAL A10EU,1,0.9999857360321383,1,AERMACCHI F260,MRCHTI-F260-B,faa,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: MRCHTI', 'model: F260', 'series: B', 'cert: A10EU']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI MARCHETTI COL model VAL F.260C,1,0.9997879522566302,1,AERMACCHI F260,MRCHTI-F260-C,reg,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI MARCHETTI', 'model: F.260C']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260C COL code VAL F260,1,0.9999895344086076,1,AERMACCHI F260,F260 SF-260C,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260C', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL code VAL F260,1,0.9999917151809342,1,AERMACCHI F260,F260,doc8643_code,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']",['code: F260'],55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL make VAL AERMACCHI COL model VAL F260 COL series VAL C COL cert VAL EASA.A.586,1,0.9999856481935684,1,AERMACCHI F260,49,cictt,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['make: AERMACCHI', 'model: F260', 'series: C', 'cert: EASA.A.586']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260 COL code VAL F260,1,0.9999906776188638,1,AERMACCHI F260,F260 SF-260,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL F-260E COL code VAL F260,1,0.9999906677363589,1,AERMACCHI F260,F260 F-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: F-260E', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL T-260 COL code VAL F260,1,0.9999908842203169,1,AERMACCHI F260,F260 T-260,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: T-260', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AEROTECH COL model VAL SF-260F COL code VAL F260,1,0.9999902380467307,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AEROTECH', 'model: SF-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260F,1,0.9999805501076838,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260F']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260C,1,0.9999743808664537,1,AERMACCHI F260,F260 SF-260C,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260C']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL AERMACCHI COL model VAL F-260F COL code VAL F260,1,0.9999910302777874,1,AERMACCHI F260,F260 F-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: AERMACCHI', 'model: F-260F', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL F-260E,1,0.9999810684706799,1,AERMACCHI F260,F260 F-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: F-260E']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL ALENIA AERMACCHI COL model VAL SF-260F,1,0.9999863282375869,1,AERMACCHI F260,F260 SF-260F,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: ALENIA AERMACCHI', 'model: SF-260F']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260A COL code VAL F260,1,0.9999899792855129,1,AERMACCHI F260,F260 SF-260A,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260A', 'code: F260']",55,55
COL make VAL AERMACCHI COL model VAL F260 COL cert VAL EASA.A.586,COL mfr VAL SIAI-MARCHETTI COL model VAL SF-260E COL code VAL F260,1,0.9999897739550438,1,AERMACCHI F260,F260 SF-260E,doc8643_description,"['make: AERMACCHI', 'model: F260', 'cert: EASA.A.586']","['mfr: SIAI-MARCHETTI', 'model: SF-260E', 'code: F260']",55,55
