left,right,match,match_confidence,gold,left_id,right_id,source
COL make VAL KAMAN COL model VAL H43 COL cert VAL AR-27,COL mfr VAL KAMAN COL model VAL K-600,1,0.5691126015977553,0,KAMAN H43,K-600-600,reg
COL make VAL BELL COL model VAL 210 COL cert VAL H1SW,COL mfr VAL BELL COL model VAL 205A,0,0.6863054363406272,1,BELL 210,BHT-210-210,reg
COL make VAL AERONCA COL model VAL 7DC COL name VAL CHAMPION COL cert VAL A-759,COL mfr VAL AERONCA COL model VAL 7BCM,1,0.4815013801019274,0,AERONCA 7DC,BL-7-BCM,reg
COL make VAL ENSTROM COL model VAL 280 COL name VAL SHARK COL cert VAL H1CE,COL mfr VAL ENSTROM COL model VAL F-28,0,0.6626192947811408,1,ENSTROM 280,EN28 F-28,doc8643_description
COL make VAL WACO COL model VAL UMF COL cert VAL ATC 546,COL mfr VAL WACO COL model VAL PBF,1,0.6376585482803487,0,WACO UMF,WACO-P-BF,reg
COL make VAL WACO COL model VAL CSO COL cert VAL ATC 240,COL mfr VAL WACO COL model VAL CTO,1,0.49953789742781907,0,WACO CSO,WACO-CTO-CTO,reg
COL make VAL HILLER COL model VAL OH23 COL cert VAL 4H11,COL mfr VAL HILLER COL model VAL UH-12C,1,0.3934753460121362,0,HILLER OH23,HILLER-UH12-C,reg
COL make VAL HAWKER SIDDELEY COL model VAL HS125 COL cert VAL A3EU,COL mfr VAL HAWKER SIDDELEY COL model VAL DH.125-400A,0,0.6545466335835017,1,HAWKER SIDDELEY HS125,HS-125-403A,reg
COL make VAL HAWKER SIDDELEY COL model VAL DH125 COL cert VAL A3EU,COL mfr VAL HAWKER SIDDELEY COL model VAL DH.125-400A,0,0.6999308614388494,1,HAWKER SIDDELEY DH125,DH-125-400A,reg
COL make VAL HILLER COL model VAL OH23 COL cert VAL 4H11,COL mfr VAL HILLER COL model VAL UH-12B,0,0.6679839146613455,1,HILLER OH23,UH12 UH-12B,doc8643_description
COL make VAL AIR TRACTOR COL model VAL AT400 COL cert VAL A9SW,COL mfr VAL AIR TRACTOR INC COL model VAL AT-300,1,0.42082627650263765,0,AIR TRACTOR AT400,AT-300-300,reg
COL make VAL DOUGLAS COL model VAL C54 COL name VAL SKYMASTER COL cert VAL A-762,COL mfr VAL DOUGLAS COL model VAL DC-4,1,0.5558299858219251,0,DOUGLAS C54,DC-4-4,reg
COL make VAL WACO COL model VAL AGC COL cert VAL TC 664,COL mfr VAL WACO COL model VAL UIC,1,0.6905245942253977,0,WACO AGC,WACO-U-IC,reg
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-424ER,1,0.8801597365037399,0,BOEING 767,B-777-FFX,reg
COL make VAL AIR TRACTOR COL model VAL AT300 COL cert VAL A9SW,COL mfr VAL AIR TRACTOR INC COL model VAL AT-300,1,0.3705256216260666,0,AIR TRACTOR AT300,AT-400-400,reg
COL make VAL AEROSTAR INTERNATIONAL COL model VAL S52A COL cert VAL A15CE,COL mfr VAL AEROSTAR INTERNATIONAL INC COL model VAL S53H,1,0.5114520099932975,0,AEROSTAR INTERNATIONAL S52A,AERSTR-S53-S53H,reg
COL make VAL BRITTEN NORMAN COL model VAL BN2B COL name VAL ISLANDER II COL cert VAL UK.TC.A.00042,COL mfr VAL BRITTEN-NORMAN COL model VAL BN-2 Islander,0,0.8252712515902118,1,BRITTEN NORMAN BN2B,BN2P BN-2 Islander,doc8643_description
COL make VAL WACO COL model VAL YQC COL cert VAL TC 598,COL mfr VAL WACO COL model VAL UEC,1,0.41707827659570407,0,WACO YQC,WACO-U-EC,reg
COL make VAL TRAVEL AIR COL model VAL TRAVEL AIR 4000 COL cert VAL ATC 32,COL mfr VAL TRAVEL AIR COL model VAL 4000,1,0.47883037763839487,0,TRAVEL AIR TRAVEL AIR 4000,CURTIS-TRVAIR-4000,reg
COL make VAL WACO COL model VAL VPF COL cert VAL A-642,COL mfr VAL WACO COL model VAL PCF,1,0.4481213184181975,0,WACO VPF,WACO-P-CF,reg
COL make VAL CHAMPION COL model VAL 7KCAB COL name VAL CITABRIA COL cert VAL A-759,COL mfr VAL CHAMPION COL model VAL 7GCAA,1,0.40113342217210474,0,CHAMPION 7KCAB,CHAMP-7-GCAA,reg
COL make VAL WACO COL model VAL YQC COL cert VAL TC 598,COL mfr VAL WACO COL model VAL CJC,1,0.39064035272162906,0,WACO YQC,WACO-JC-CJC,reg
COL make VAL PORTERFIELD COL model VAL CP65 COL name VAL COLLEGIATE COL cert VAL A-720,COL mfr VAL PORTERFIELD COL model VAL CP-65,0,0.6717469906608519,1,PORTERFIELD CP65,CP-65-PORTFLD,reg
COL make VAL WACO COL model VAL PBA COL cert VAL ATC 464,COL mfr VAL WACO COL model VAL ULA,1,0.4547752865181964,0,WACO PBA,WACO-ULA-ULA,reg
COL make VAL WACO COL model VAL YOC COL cert VAL ATC 569,COL mfr VAL WACO COL model VAL CUC,1,0.756646160711764,0,WACO YOC,WACO-UC-CUC,reg
COL make VAL WACO COL model VAL UC72 COL cert VAL ATC 648,COL mfr VAL WACO COL model VAL QDC,1,0.9942907224167283,0,WACO UC72,WACO-Q-DC,reg
COL make VAL SIKORSKY COL model VAL H19 COL name VAL CHICKASAW COL cert VAL HR1SO,COL mfr VAL SIKORSKY COL model VAL UH-19C,1,0.717808084377253,0,SIKORSKY H19,H-19-UH19C,reg
COL make VAL THRUSH COL model VAL S2R COL name VAL THRUSH 510G COL cert VAL A4SW,COL make VAL THRUSH COL model VAL S26 COL series VAL H80 COL cert VAL A4SW,0,0.9998804463470248,1,THRUSH S2R,THRUSH-S26-H80,faa
COL make VAL WACO COL model VAL CUC COL cert VAL ATC 575 ATC 525,COL mfr VAL WACO COL model VAL YKC,1,0.9296165321069747,0,WACO CUC,WACO-YK-C,reg
COL make VAL HUGHES COL model VAL YOH6 COL name VAL CAYUSE COL cert VAL H3WE,COL mfr VAL HUGHES COL model VAL Hkp5,1,0.9983980071589076,0,HUGHES YOH6,H269 Hkp5,doc8643_description
COL make VAL PIPER COL model VAL PA28S COL name VAL CHEROKEE COL cert VAL 2A13,COL code VAL T28,1,0.9557032970020971,0,PIPER PA28S,T28,doc8643_code
COL make VAL ROCKWELL COL model VAL 112 COL name VAL COMMANDER 112 COL cert VAL A12SO,COL make VAL COMNDR COL model VAL 112 COL series VAL 112 COL cert VAL A12SO,0,0.9276842241280864,1,ROCKWELL 112,COMNDR-112-112,faa
COL make VAL PIPER COL model VAL NE COL name VAL GRASSHOPPER COL cert VAL A-691,COL mfr VAL PIPER COL model VAL J-2,1,0.7561027424549781,0,PIPER NE,PA-J2-J2,reg
COL make VAL VERTOL COL model VAL CH21 COL name VAL WORKHORSE,COL code VAL H21,0,0.7415885358896045,1,VERTOL CH21,H21,doc8643_code
COL make VAL AIRBUS COL model VAL A300 COL name VAL BELUGA COL cert VAL EASA.A.014,COL code VAL A3ST,0,0.9997040711014589,1,AIRBUS A300,A3ST,doc8643_code
COL make VAL BEECH COL model VAL 23 COL name VAL SUNDOWNER 180 MUSKETEER MUSKETEER II MUSKETEER CUSTOM III CUSTOM COL cert VAL A1CE,COL make VAL BE COL model VAL 23 COL series VAL A23A COL name VAL MUSKETEER II COL cert VAL A1CE,0,0.7872626010178873,1,BEECH 23,BE-23-A23A,faa
COL make VAL PILATUS COL model VAL PC12 COL cert VAL EASA.A.089,COL mfr VAL PILATUS COL model VAL U-28,0,0.9997354923850921,1,PILATUS PC12,PC12 U-28,doc8643_description
COL make VAL BELL COL model VAL 204 COL name VAL HUEY COL cert VAL H1SW,COL mfr VAL BELL COL model VAL TAH-1 HueyCobra,1,0.7758978329654729,0,BELL 204,HUCO TAH-1 HueyCobra,doc8643_description
COL make VAL CESSNA COL model VAL C38 COL name VAL AIRMASTER COL cert VAL TC 668,COL mfr VAL CESSNA COL model VAL C-37,1,0.9999683753705142,0,CESSNA C38,UC-77-C37,reg
COL make VAL KUBICEK COL model VAL BB22 COL cert VAL EASA.BA.003,COL make VAL BB COL model VAL 22 COL series VAL ED COL cert VAL B04C3,1,0.9999834844448334,0,KUBICEK BB22,BB-22-ED,faa
COL make VAL AERO COMMANDER COL model VAL 200 COL cert VAL 3A18,COL code VAL M200,0,0.9999537851621182,1,AERO COMMANDER 200,M200,doc8643_code
COL make VAL KUBICEK COL model VAL BB20 COL cert VAL EASA.BA.003,COL mfr VAL BALONY KUBICEK SPOL SRO COL model VAL BB20XR,0,0.9393332863444617,1,KUBICEK BB20,BB-20-XR,reg
"COL make VAL PIPER COL model VAL PA31T COL name VAL CHEYENNE, CHEYENNE IIXL COL cert VAL A8EA",COL mfr VAL SCHAFER COL model VAL Comanchero 620 COL code VAL PAY2,0,0.9999925710009713,1,PIPER PA31T,PAY2 Comanchero 620,doc8643_description
COL make VAL ROCKWELL COL model VAL 112 COL name VAL COMMANDER 112 ALPINE COMMANDER COL cert VAL A12SO,COL make VAL GA COL model VAL 112 COL series VAL B COL cert VAL A12SO,0,0.9999017163242084,1,ROCKWELL 112,GA-112-B,faa
COL make VAL MOONEY COL model VAL M20TN COL name VAL ACCLAIM COL cert VAL 2A3,COL mfr VAL MOONEY COL model VAL M-20S Eagle,1,0.9870149514338682,0,MOONEY M20TN,M20P M-20S Eagle,doc8643_description
COL make VAL GLASER DIRKS COL model VAL DG100 COL cert VAL EASA.A.239,COL make VAL GLASER DIRKS COL model VAL DG1000 COL series VAL S COL cert VAL EASA.A.072,1,0.38509111737657914,0,GLASER DIRKS DG100,5400,cictt
COL make VAL AEROSPATIALE COL model VAL AS332 COL name VAL SUPER PUMA COL cert VAL EASA.R.002,COL code VAL AS32,0,0.7618095935807657,1,AEROSPATIALE AS332,AS32,doc8643_code
COL make VAL LOCKHEED COL model VAL P38 COL name VAL LIGHTNING COL cert VAL LTC-10 NOT CERTIFICATED,COL make VAL P COL model VAL 38 COL series VAL F5G COL cert VAL L103,1,0.9999331810307734,0,LOCKHEED P38,P-38-F5G,faa
COL make VAL BEECH COL model VAL 36 COL name VAL BONANZA COL cert VAL 3A15,COL mfr VAL BEECH COL model VAL U-8D Seminole,1,0.999766964484886,0,BEECH 36,BE50 U-8D Seminole,doc8643_description
COL make VAL WEATHERLY COL model VAL 620 COL cert VAL A26WE,COL mfr VAL WEATHERLY COL model VAL 201 COL code VAL W201,0,0.96387024570221,1,WEATHERLY 620,W201 201,doc8643_description
COL make VAL LOCKHEED COL model VAL SP2 COL name VAL NEPTUNE COL cert VAL A36NM,COL code VAL P2,0,0.9957755152697257,1,LOCKHEED SP2,P2,doc8643_code
COL make VAL BEECH COL model VAL 19 COL name VAL MUSKETEER SPORT SPORT 150 COL cert VAL A1CE,COL mfr VAL BEECH COL model VAL B19,0,0.9999963624745831,1,BEECH 19,BE-19-B,reg
"COL make VAL TAYLORCRAFT COL model VAL BC12 COL name VAL DELUXE, DELUXE TRAVELER COL cert VAL A-696",COL mfr VAL TAYLORCRAFT (1) COL model VAL DF,1,0.717673119341407,0,TAYLORCRAFT BC12,TAYD DF,doc8643_description
COL make VAL WACO COL model VAL UBF COL cert VAL ATC 473,COL mfr VAL WACO COL model VAL PBF,0,0.9936257259055814,1,WACO UBF,WACF PBF,doc8643_description
COL make VAL TAYLORCRAFT COL model VAL F19 COL name VAL SPORTSMAN COL cert VAL 1A9,COL mfr VAL TAYLORCRAFT (1) COL model VAL BC Sportsman COL code VAL TAYB,1,0.9999042050989035,0,TAYLORCRAFT F19,TAYB BC Sportsman,doc8643_description
"COL make VAL BELL COL model VAL 206 COL name VAL JET RANGER, JET RANGER II, LONG RANGER, LONG RANGER II, LONG RANGER III, LONG RANGER IV COL cert VAL H-92",COL mfr VAL BELL COL model VAL 505 Jet Ranger X COL code VAL B505,1,0.4805298117547125,0,BELL 206,B505 505 Jet Ranger X,doc8643_description
COL make VAL CESSNA COL model VAL 305 COL name VAL BIRD DOG COL cert VAL 5A5 3A14,COL mfr VAL CESSNA COL model VAL 0-1A,1,0.9446804772314928,0,CESSNA 305,CE-305-O1A,reg
COL make VAL JOHNSON COL model VAL ROCKET 185 COL cert VAL TC 776,COL code VAL R185,0,0.9999965259851855,1,JOHNSON ROCKET 185,R185,doc8643_code
COL make VAL SKY COL model VAL 120 24 COL cert VAL UK.TC.BA.00003,COL mfr VAL RUARK KEVIN R COL model VAL LANCAIR IV-P,1,0.9963121164364673,0,SKY 120 24,SKY-105-24,reg
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL code VAL B789,1,0.9778943839016586,0,BOEING 767,B789,doc8643_code
"COL make VAL MAULE COL model VAL M4 COL name VAL ASTRO ROCKET, ROCKET, STRATA ROCKET, JETASEN COL cert VAL 3A23",COL mfr VAL SAASA COL model VAL M-1 Cuauhtemoc,0,0.9999884768607301,1,MAULE M4,M4 M-1 Cuauhtemoc,doc8643_description
COL make VAL BAE COL model VAL ATP COL cert VAL EASA.A.192,COL mfr VAL JETSTREAM COL model VAL 61,0,0.9999963619229699,1,BAE ATP,ATP 61,doc8643_description
COL make VAL AIR TRACTOR COL model VAL AT250 COL cert VAL A9SW,COL code VAL AT2P,0,0.9708223833712937,1,AIR TRACTOR AT250,AT2P,doc8643_code
COL make VAL HILLER COL model VAL OH23 COL cert VAL 4H11,COL mfr VAL HILLER COL model VAL UH-12L,1,0.35220161885824297,0,HILLER OH23,HILLER-UH12-L,reg
COL make VAL DORNIER COL model VAL DO27 COL cert VAL 514/SA,COL mfr VAL DORNIER COL model VAL Fpl53,0,0.9928585127086771,1,DORNIER DO27,DO27 Fpl53,doc8643_description
COL make VAL AIR TRACTOR COL model VAL AT401 COL cert VAL A17SW,COL mfr VAL AIR TRACTOR INC COL model VAL AT-301,1,0.9962731126975707,0,AIR TRACTOR AT401,AT-301-301,reg
COL make VAL MURPHY COL model VAL SR3500 COL name VAL SUPER REBEL,COL code VAL MR35,0,0.9973490126834758,1,MURPHY SR3500,MR35,doc8643_code
COL make VAL HAWKER COL model VAL 4000 COL name VAL HORIZON COL cert VAL T00013WI,COL code VAL HA4T,0,0.999996318849059,1,HAWKER 4000,HA4T,doc8643_code
COL make VAL PZL MIELEC COL model VAL M18 COL name VAL DROMADER COL cert VAL EASA.A.056,COL mfr VAL WSK PZL MIELEC COL model VAL M-18A,0,0.9999961835453234,1,PZL MIELEC M18,WSK-PZL-M18A,reg
COL make VAL FLEET COL model VAL 16 COL name VAL FINCH II,COL code VAL B14A,1,0.9933118264312709,0,FLEET 16,B14A,doc8643_code
COL make VAL AERONCA COL model VAL K COL name VAL SCOUT COL cert VAL A-634,COL code VAL AR50,1,0.4791233353027502,0,AERONCA K,AR50,doc8643_code
COL make VAL DE HAVILLAND COL model VAL DHC8 COL name VAL DASH 8 COL cert VAL A-142,COL mfr VAL BOMBARDIER COL model VAL RO-6,0,0.9999964045768736,1,DE HAVILLAND DHC8,DH8C RO-6,doc8643_description
COL make VAL PIAGGIO COL model VAL P166 COL cert VAL EASA.A.384,COL code VAL P66P,0,0.9999219010709598,1,PIAGGIO P166,P66P,doc8643_code
"COL make VAL RYAN COL model VAL ST COL cert VAL ATC 571, ATC 681",COL mfr VAL RYAN COL model VAL YPT-16,0,0.9980348532444762,1,RYAN ST,RYST YPT-16,doc8643_description
"COL make VAL WACO COL model VAL EGC COL cert VAL TC 665, ATC 639",COL mfr VAL WACO COL model VAL G COL code VAL WACG,1,0.9975719710593463,0,WACO EGC,WACG G,doc8643_description
COL make VAL PORTERFIELD COL model VAL FP65 COL name VAL COLLEGIATE COL cert VAL A-720,COL code VAL CP65,0,0.8939939070695792,1,PORTERFIELD FP65,CP65,doc8643_code
COL make VAL AEROSPATIALE COL model VAL AS332 COL name VAL SUPER PUMA COL cert VAL EASA.R.002,COL mfr VAL ATLAS COL model VAL SA-330 Oryx,0,0.9999869203087984,1,AEROSPATIALE AS332,AS32 SA-330 Oryx,doc8643_description
COL make VAL LAKE COL model VAL 250 COL name VAL RENEGADE COL cert VAL 1A13,COL mfr VAL LAKE COL model VAL LA-270 Turbo Seafury,0,0.9999946012684182,1,LAKE 250,LA25 LA-270 Turbo Seafury,doc8643_description
COL make VAL HUGHES COL model VAL 269C COL name VAL 300C COL cert VAL 4H12,COL mfr VAL WUHAN COL model VAL 280,1,0.9986315343303538,0,HUGHES 269C,EN28 280,doc8643_description
COL make VAL WACO COL model VAL YQC COL cert VAL TC 598,COL make VAL WACO COL model VAL YPF COL series VAL 6 COL cert VAL ATC586,0,0.9999963677557699,1,WACO YQC,WACO-YPF-6,faa
"COL make VAL PIPER COL model VAL PA31T COL name VAL CHEYENNE, CHEYENNE IIXL COL cert VAL A8EA",COL mfr VAL SCHAFER COL model VAL Comanchero 620,0,0.9999955188874649,1,PIPER PA31T,PAY2 Comanchero 620,doc8643_description
COL make VAL BELL COL model VAL 505 COL name VAL JET RANGER X COL cert VAL H-112,COL code VAL P51,1,0.9574840527761057,0,BELL 505,P51,doc8643_code
COL make VAL BELL COL model VAL 47J COL name VAL RANGER COL cert VAL 2H1,COL mfr VAL BELL COL model VAL OH-13 Sioux COL code VAL B47G,1,0.3610985057043047,0,BELL 47J,B47G OH-13 Sioux,doc8643_description
COL make VAL BOMBARDIER COL model VAL BD100 COL name VAL CHALLENGER 300 COL cert VAL A-234,COL code VAL CL30,0,0.9999964466324197,1,BOMBARDIER BD100,CL30,doc8643_code
COL make VAL BOEING COL model VAL 737 COL cert VAL A16WE,COL code VAL B712,1,0.9999751945550641,0,BOEING 737,B712,doc8643_code
COL make VAL WACO COL model VAL RPT COL cert VAL A8CE,COL code VAL WACT,0,0.9973672125120382,1,WACO RPT,WACT,doc8643_code
COL make VAL GRUMMAN COL model VAL GA7 COL name VAL COUGAR COL cert VAL A17SO,COL mfr VAL SOCATA COL model VAL TB-360 Tangara,0,0.9999963311366906,1,GRUMMAN GA7,GA7 TB-360 Tangara,doc8643_description
COL make VAL BEECH COL model VAL TC45 COL cert VAL A-765,COL mfr VAL BEECH COL model VAL 45,1,0.9999217815960476,0,BEECH TC45,BE-45-45,reg
COL make VAL CUB CRAFTERS COL model VAL CC18 COL name VAL TOP CUB COL cert VAL A00006SE,COL mfr VAL CUB COL model VAL J-3 Prospector,1,0.9924348348846833,0,CUB CRAFTERS CC18,J3 J-3 Prospector,doc8643_description
COL make VAL TEMCO COL model VAL D16 COL name VAL TWIN NAVION COL cert VAL 2A1,COL code VAL TNAV,0,0.999994083766353,1,TEMCO D16,TNAV,doc8643_code
COL make VAL HAWKER COL model VAL HAWKER 750 COL cert VAL A3EU,COL code VAL H25A,1,0.9999583707791957,0,HAWKER HAWKER 750,H25A,doc8643_code
COL make VAL BEECH COL model VAL 23 COL name VAL SUNDOWNER 180 MUSKETEER MUSKETEER II MUSKETEER CUSTOM III CUSTOM COL cert VAL A1CE,COL mfr VAL BEECH COL model VAL A23A,0,0.9660136264908192,1,BEECH 23,BE-23-A23A,reg
COL make VAL PIPER COL model VAL PA31P COL name VAL MOJAVE COL cert VAL A8EA,COL make VAL PA COL model VAL 31 COL series VAL T3 COL cert VAL A8EA,1,0.9881593443672617,0,PIPER PA31P,PA-31-T3,faa
COL make VAL CUB CRAFTERS COL model VAL CC18 COL name VAL TOP CUB COL cert VAL A00006SE,COL mfr VAL VOLPAR COL model VAL 18,1,0.9197665003783778,0,CUB CRAFTERS CC18,BE18 18,doc8643_description
COL make VAL PORTERFIELD COL model VAL CP65 COL name VAL COLLEGIATE COL cert VAL A-720,COL mfr VAL PORTERFIELD-RANKIN COL model VAL CP-65,0,0.9992151777357048,1,PORTERFIELD CP65,PRTFLD-65-CP65,reg
COL make VAL STINSON COL model VAL AT19 COL cert VAL A-774,COL code VAL RELI,0,0.9994070986425412,1,STINSON AT19,RELI,doc8643_code
"COL make VAL PIPER COL model VAL PA34 COL name VAL SENECA, SENECA II COL cert VAL A7SO",COL mfr VAL BENGIS COL model VAL TM-20 Flamingo 3,0,0.9999940134172255,1,PIPER PA34,PA34 TM-20 Flamingo 3,doc8643_description
COL make VAL CESSNA COL model VAL LC41 COL name VAL CORVALIS TT COL cert VAL A00003SE,COL code VAL COL4,0,0.6597354759161836,1,CESSNA LC41,COL4,doc8643_code
COL make VAL TRAVEL AIR COL model VAL TRAVEL AIR 16 COL cert VAL ATC 411 ATC 463,COL make VAL CURTIS COL model VAL TRVAIR COL series VAL 1E COL name VAL TRAVEL AIR COL cert VAL ATC463,0,0.9999869356236459,1,TRAVEL AIR TRAVEL AIR 16,CURTIS-TRVAIR-1E,faa
COL make VAL BEECH COL model VAL 60 COL name VAL DUKE COL cert VAL A12CE,COL code VAL BE60,0,0.9999929315672607,1,BEECH 60,BE60,doc8643_code
"COL make VAL BEECH COL model VAL 33 COL name VAL DEBONAIR, BONANZA COL cert VAL 3A15",COL mfr VAL BEECH COL model VAL E-24,0,0.9991090604861794,1,BEECH 33,BE33 E-24,doc8643_description
COL make VAL MOONEY COL model VAL M20V COL name VAL ACCLAIM ULTRA COL cert VAL 2A3,COL code VAL DV20,1,0.8181662709036727,0,MOONEY M20V,DV20,doc8643_code
COL make VAL WACO COL model VAL ASO COL cert VAL ATC 41,COL mfr VAL WACO COL model VAL CTO,0,0.6530375220031952,1,WACO ASO,WACO CTO,doc8643_description
COL make VAL WACO COL model VAL 125 COL name VAL SIEMENS WACO COL cert VAL ATC 26,COL mfr VAL WACO COL model VAL ATO,1,0.9999467115624586,0,WACO 125,WACO-ATO-ATO,reg
COL make VAL TRAVEL AIR COL model VAL TRAVEL AIR 3000 COL cert VAL ATC 31,COL mfr VAL TRAVEL AIR COL model VAL 4000,1,0.3556321590807239,0,TRAVEL AIR TRAVEL AIR 3000,CURTIS-TRVAIR-4000,reg
COL make VAL DOUGLAS COL model VAL DC3C COL cert VAL A-669,COL mfr VAL PROFESSIONAL AVIATION COL model VAL C-47TP Super Dakota,0,0.9996940646376907,1,DOUGLAS DC3C,DC3T C-47TP Super Dakota,doc8643_description
COL make VAL AEROMOT COL model VAL AMT300 COL name VAL TURBO XIMANGO SHARK COL cert VAL EP-8602,COL mfr VAL BLUCHER JOSEPH T COL model VAL CESSNA 305 L19,0,0.9906234303669849,1,AEROMOT AMT300,AMT-300-300,reg
COL make VAL ZLIN COL model VAL Z526 COL name VAL SKYDEVIL COL cert VAL EASA.A.353,COL mfr VAL EUROCOPTER COL model VAL HU-26,1,0.9654533943668879,0,ZLIN Z526,EC35 HU-26,doc8643_description
COL make VAL CASA COL model VAL C212 COL name VAL AVIOCAR COL cert VAL EASA.A.187,COL mfr VAL CONSTRUCCIONES AERONAUTICAS SA COL model VAL 212-200,0,0.9984003186582414,1,CASA C212,C-212-CD,reg
COL make VAL CHAMPION COL model VAL 7GC COL name VAL SKYTRAC COL cert VAL A-759,COL mfr VAL CHAMPION COL model VAL 7GCAA,1,0.9672378661398717,0,CHAMPION 7GC,CHAMP-7-GCAA,reg
COL make VAL BRANTLY COL model VAL 305 COL cert VAL H3SW,COL code VAL B305,0,0.9999923642766957,1,BRANTLY 305,B305,doc8643_code
COL make VAL AERO COMMANDER COL model VAL 600S2D COL name VAL THRUSH COMMANDER COL cert VAL A3SW,COL mfr VAL SNOW COL model VAL S-2,0,0.7358862192989908,1,AERO COMMANDER 600S2D,SS2P S-2,doc8643_description
COL make VAL BOEING COL model VAL 737 COL cert VAL A16WE,COL code VAL B77W,1,0.9930058898730364,0,BOEING 737,B77W,doc8643_code
